model,provider,api_surface,registration_timeout_seconds,registration_num_predict,num_thread,keep_alive,temperature,official_parse_policy,diagnostic_parse_policy,last_elapsed_seconds,last_status,last_reason,response_json
"llama3-groq-tool-use:8b",ollama,generate,170,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,136,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624/llama3-groq-tool-use_8b.response.json
"nemotron-3-nano:4b",ollama,generate,193,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,154,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441/nemotron-3-nano_4b.response.json
"gemma3:4b",ollama,generate,91,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,61,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715/gemma3_4b.response.json
"llama3.2:3b",ollama,generate,71,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,41,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817/llama3.2_3b.response.json
"mistral:latest",ollama,generate,342,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,273,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858/mistral_latest.response.json
"phi3:mini",ollama,generate,72,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,42,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417/phi3_mini.response.json
"tinyllama:latest",ollama,generate,49,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,19,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500/tinyllama_latest.response.json
"gemma3:1b",ollama,generate,44,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,14,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519/gemma3_1b.response.json
"gemma3:270m",ollama,generate,34,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,4,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104550/gemma3_270m.response.json
"smollm2:135m",ollama,generate,37,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,7,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104554/smollm2_135m.response.json
"qwen2.5:0.5b",ollama,generate,38,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,8,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104602/qwen2.5_0.5b.response.json
"granite4:3b",ollama,generate,71,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,41,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104610/granite4_3b.response.json
"qwen2.5:latest",ollama,generate,268,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,214,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104651/qwen2.5_latest.response.json
"qwen2.5-coder:3b",ollama,generate,71,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,41,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_105025/qwen2.5-coder_3b.response.json
"qwen:4b",ollama,generate,71,256,1,0s,0,visible_response_full_legal_uci,thinking_diagnostic_only,41,pass,visible_legal_uci,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_105106/qwen_4b.response.json
